,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1977.0,13.0,23.0,0.0,63.0
1,1967.0,6.0,33.0,1.0,69.0
2,1963.0,3.0,37.0,2.0,72.0
3,1961.0,3.0,39.0,3.0,75.0
4,1960.0,1.0,40.0,4.0,76.0
5,1960.0,0.0,40.0,5.0,76.0
6,1960.0,0.0,40.0,6.0,76.0
7,1960.0,0.0,40.0,7.0,76.0
8,1960.0,0.0,40.0,8.0,76.0
9,1960.0,0.0,40.0,9.0,76.0
10,1960.0,0.0,40.0,10.0,76.0
11,1960.0,0.0,40.0,11.0,76.0
12,1960.0,0.0,40.0,12.0,76.0
13,1960.0,0.0,40.0,13.0,76.0
14,1960.0,0.0,40.0,14.0,76.0
15,1960.0,0.0,40.0,15.0,76.0
16,1960.0,0.0,40.0,16.0,76.0
17,1960.0,0.0,40.0,17.0,76.0
18,1960.0,0.0,40.0,18.0,76.0
19,1960.0,0.0,40.0,19.0,76.0
20,1960.0,0.0,40.0,20.0,76.0
